prov,city,prov_city,land_price
Hunan,Loudi,Hunan-Loudi,26.231267954572406
Henan,Nanyang,Henan-Nanyang,33.52324143769168
Yunnan,Wenshanzhuangzumiaozu,Yunnan-Wenshanzhuangzumiaozu,8.799163293821367
Guangxi,Hezhou,Guangxi-Hezhou,10.410591049207426
Sichuan,Guangan,Sichuan-Guangan,30.24073097209665
Zhejiang,Lishui,Zhejiang-Lishui,5.987603000352859
Shanghai,Putuo,Shanghai-Putuo,44.870667300278924
Jilin,Baicheng,Jilin-Baicheng,7.441525370389095
Henan,Sanmenxia,Henan-Sanmenxia,17.269951087915242
Hebei,Cangzhou,Hebei-Cangzhou,32.8445705657367
Sichuan,Zigong,Sichuan-Zigong,33.852194484524084
Guangxi,Laibin,Guangxi-Laibin,12.217745449605259
Hunan,Shaoyang,Hunan-Shaoyang,21.316934699522715
Chongqing,Nanan,Chongqing-Nanan,27.65020389450296
Beijing,Shijingshan,Beijing-Shijingshan,10.77479958013626
Hunan,Yiyang,Hunan-Yiyang,28.95783348894722
Xinjiang,Hami,Xinjiang-Hami,7.953463003468812
Jiangxi,Jian,Jiangxi-Jian,14.00219956625672
Tianjin,Ninghe,Tianjin-Ninghe,37.34284012305428
Shanxi,Jinzhong,Shanxi-Jinzhong,12.220740975146244
Chongqing,Qianjiang,Chongqing-Qianjiang,10.70941005729846
Jiangsu,Wuxi,Jiangsu-Wuxi,48.0616781309703
Anhui,Huaibei,Anhui-Huaibei,25.52132074037801
Yunnan,Diqingzangzu,Yunnan-Diqingzangzu,2.536826663468322
Shanghai,Qingpu,Shanghai-Qingpu,81.59556710736774
Anhui,Huangshan,Anhui-Huangshan,9.263244514456996
Shandong,Qingdao,Shandong-Qingdao,45.851394531864486
Gansu,Pingliang,Gansu-Pingliang,14.368244688692583
Qinghai,Yushuzangzu,Qinghai-Yushuzangzu,0.16611903811356596
Fujian,Quanzhou,Fujian-Quanzhou,16.01505405517183
Guangdong,Shaoguan,Guangdong-Shaoguan,12.438857162982693
Heilongjiang,Daqing,Heilongjiang-Daqing,6.576528681205156
Shanxi,Lüliang,Shanxi-Lüliang,9.609275246343207
Shandong,Rizhao,Shandong-Rizhao,37.1805059577789
Xinjiang,Tumushuke,Xinjiang-Tumushuke,28.018468234925216
Qinghai,Haidong,Qinghai-Haidong,7.769148421744486
Zhejiang,Zhoushan,Zhejiang-Zhoushan,12.028447535242247
Guangdong,Dongguan,Guangdong-Dongguan,17.834495095805398
Hainan,Wanning,Hainan-Wanning,10.779407058190506
Shanxi,Shangluo,Shanxi-Shangluo,4.729177542436089
Hainan,Baishalizu,Hainan-Baishalizu,5.763284707743619
Chongqing,Zhongxian,Chongqing-Zhongxian,20.089257491967764
Shanghai,Pudongxin,Shanghai-Pudongxin,69.70569661105611
Xinjiang,Beitun,Xinjiang-Beitun,23.322309801075818
Anhui,Xuancheng,Anhui-Xuancheng,22.04744051591079
Chongqing,Dazu,Chongqing-Dazu,36.48072552787987
Heilongjiang,Jiamusi,Heilongjiang-Jiamusi,10.181845675446105
Xinjiang,Hetian,Xinjiang-Hetian,21.457279898322906
Sichuan,Bazhong,Sichuan-Bazhong,14.68072093167882
Hebei,Tangshan,Hebei-Tangshan,35.888325578521616
Shandong,Dongying,Shandong-Dongying,25.15866378354876
Shandong,Jining,Shandong-Jining,48.082804732452
Shandong,Jinan,Shandong-Jinan,35.89732502355709
Chongqing,Wanzhou,Chongqing-Wanzhou,22.152479831674036
Beijing,Yanqing,Beijing-Yanqing,8.847214768571579
Shandong,Weifang,Shandong-Weifang,44.19600814064681
Yunnan,Baoshan,Yunnan-Baoshan,8.838542905018517
Chongqing,Fengjie,Chongqing-Fengjie,11.203926789896771
Hunan,Yueyang,Hunan-Yueyang,28.58353089696051
Tianjin,Xiqing,Tianjin-Xiqing,43.10236173156842
