id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county
669357,招商马尔贝拉,天津,天津周边,烟台,2015,多层|高层,海滨路277号,121.140796,37.60319142,,35.0,700000.0,2721,公寓住宅,民用,6.9,12,0.0,7305.0,,,
669537,万光观海花园(南区),天津,天津周边,烟台,2009,多层|高层,滨海中路,121.4432311,37.50264634,1.0,30.0,,516,公寓住宅,民用,6.8,12,0.0,12049.0,,,
670499,天海湾水城,天津,天津周边,威海,2009,多层,228国道,122.1780851,36.92418135,,30.0,,10,公寓住宅,民用,6.5,12,0.0,4850.0,,,
671041,海洋明珠,天津,天津周边,威海,2009,高层,长江路,121.622741,36.81001161,1.0,30.0,,3753,公寓住宅,民用,7.0,12,0.0,3100.0,,,
671112,万安和府,天津,天津周边,威海,2005,多层,迎宾路,122.4301166,36.87437831,,30.0,,24,公寓住宅,民用,7.0,12,0.0,5100.0,,,
671315,维利亚花园皇冠假日行馆,天津,天津周边,威海,2012,多层,长江路,121.6253786,36.80661818,,30.0,,22,公寓住宅,民用,7.0,12,0.0,3600.0,,,
671797,华润威海湾九里,天津,天津周边,威海,2016,多层|高层,海滨中路,122.1372051,37.47934212,1.0,30.0,,5167,公寓住宅,民用,7.8,12,0.0,16000.0,,,
671855,金海悦庭,天津,天津周边,威海,2018,高层,环海路170-20号,122.11026,37.54555375,1.0,40.0,,18,公寓住宅,民用,7.5,12,0.0,14400.0,,,
671860,金海悦庭(别墅),天津,天津周边,威海,2007,低层,环海路170-20号,122.110264,37.5455597,,50.0,,0,别墅,民用,7.4,12,0.0,16500.0,,,
716698,华润威海湾九里,威海,环翠,大福源,2016,多层|高层,海滨中路,122.1372051,37.47934212,1.0,30.0,,5167,公寓住宅,民用,8.2,12,0.16,18123.0,,,
717184,金海悦庭(别墅),威海,环翠,孙家疃,2007,低层,环海路170-20号,122.110264,37.5455597,,50.0,,0,别墅,民用,7.9,12,-0.14,16608.0,,,
717200,金海悦庭,威海,环翠,孙家疃,2018,高层,环海路170-20号,122.11026,37.54555375,1.0,40.0,,18,公寓住宅,民用,8.0,12,0.0,14744.0,,,
718888,万安和府,威海,荣成,石岛,2005,多层,迎宾路,122.4301166,36.87437831,,30.0,,24,公寓住宅,民用,7.4,12,0.0,5136.0,,,
718927,天海湾水城,威海,荣成,成山镇,2009,多层,228国道,122.1780851,36.92418135,,30.0,,10,公寓住宅,民用,6.4,12,0.0,5837.0,,,
718995,海洋明珠,威海,乳山市,银滩,2009,高层,长江路,121.622741,36.81001161,1.0,30.0,,3753,公寓住宅,民用,7.2,12,-0.43,3201.0,,,
719114,维利亚花园皇冠假日行馆,威海,乳山市,银滩,2012,多层,长江路,121.6253786,36.80661818,,30.0,,22,公寓住宅,民用,7.1,12,0.0,4141.0,,,
736878,胜利路504弄小区,温州,洞头,北岙,2004,低层,胜利路504弄,121.1789118,27.85976862,2.0,30.0,,0,公寓住宅,民用,6.4,12,0.0,9454.0,,,
746590,国安七星海岸,万宁,礼纪,礼纪城区,,多层,滨海大道,110.3334351,18.67942342,,,,0,公寓住宅,民用,6.8,12,0.0,22200.0,,,
746608,保利半岛1号,万宁,礼纪,礼纪城区,,小高层|高层,435县道,110.3309506,18.67712255,,54.0,450000.0,1,公寓住宅,民用,7.6,12,0.0,23600.0,,,
762008,刘五店村,厦门,翔安,隧道口,,多层,刘五店里1-810号,118.1941399,24.56802016,,,,0,,暂无,6.0,12,0.0,17300.0,,,
764558,漳州澳洲风情园,厦门,厦门周边,漳州港,2015,多层|高层,西环城路,117.4243505,23.59394553,,30.0,,14,公寓住宅,民用,6.4,12,0.0,8607.0,,,
764871,国贸金门湾皓月天,厦门,翔安,大嶝,2015,低层,环嶝南路371号,118.3275896,24.54339334,,50.0,,77,别墅,民用,7.0,12,0.0,58823.0,,,
800647,闻涛阁,象山,象山市区,新太百货,,低层,游仙路66号,121.9588937,29.47600002,,,,0,别墅,民用,6.3,12,0.0,12000.0,,,
800770,海山名座,象山,象山市区,新太百货,2006,低层,观海北路,121.7770244,29.46940351,,28.0,,0,别墅,民用,6.4,12,0.0,10447.0,,,
800861,恒大御海湾(新房),象山,象山市区,新太百货,,小高层|高层,游仙路中段,121.9614522,29.47295259,,,,0,公寓住宅,民用,,12,0.0,9500.0,,,
803502,海关街小区,烟台,芝罘,南大街,2007,多层,海关街,121.3951769,37.54450967,1.0,30.0,,30,公寓住宅,民用,7.1,12,0.0,14285.0,,,
803858,新城璞樾园著(别墅),烟台,芝罘,芝罘岛,2021,低层,芝罘岛路,121.3598492,37.61792247,,35.0,,0,别墅,民用,6.8,12,0.0,21908.0,,,
803859,新城璞樾园著(公寓住宅),烟台,芝罘,芝罘岛,2021,多层,芝罘岛路,121.3604597,37.61686845,,30.0,,900,公寓住宅,民用,6.9,12,0.0,12592.0,,,
804293,招商马尔贝拉(别墅),烟台,开发区,富士康,2021,低层,海滨路277号,121.1411922,37.60167803,,40.0,,206,别墅,民用,7.5,12,6.85,32793.0,,,
804295,招商马尔贝拉,烟台,开发区,富士康,2015,多层|高层,海滨路277号,121.140796,37.60319142,,35.0,700000.0,2721,公寓住宅,民用,7.3,12,0.0,10275.0,,,
804373,维亚湾,烟台,开发区,德胜,2008,多层,海滨路,121.2486588,37.57245646,,49.6,,0,公寓住宅,民用,7.3,12,0.0,8000.0,,,
805577,银海家园,烟台,莱山,石沟屯,2000,多层,新城北街,121.4434475,37.50156712,1.0,35.0,,120,公寓住宅,民用,7.0,12,0.0,17600.0,,,
805585,万光观海花园(南区),烟台,莱山,迟家,2009,多层|高层,滨海中路,121.4432311,37.50264634,1.0,30.0,,516,公寓住宅,民用,7.5,12,0.0,19012.0,,,
806469,朋家公寓,烟台,海阳,海滨中路,2010,小高层,商业街,121.0441139,36.59832453,,,,0,酒店,商用,,12,,,,,
806551,曦岛度假公寓,烟台,海阳,海滨中路,2000,多层,海景路9号,121.2269667,36.69425335,1.0,30.0,,0,商住楼,商用,7.0,12,0.0,3962.0,,,
807871,高尔夫住宅小区,烟台,烟台周边,其他,2014,低层,烟威高速路,121.6957756,37.45934965,,50.0,,0,别墅,民用,6.6,12,0.0,4545.0,,,
878833,漳州澳洲风情园,漳州,龙海市,城区,2015,多层|高层,西环城路,117.4243505,23.59394553,,30.0,,14,公寓住宅,民用,6.6,12,0.0,10000.0,,,
885041,广宇宝龙天地,舟山,普陀,蚂蚁,2020,高层,滨港路626号,122.31578,29.94458122,,,,0,公寓住宅,民用,7.2,12,0.0,12500.0,,,
885200,金平花园,舟山,嵊泗,菜园,,小高层,金海路307号,122.4559518,30.74510667,,30.0,,227,公寓住宅,民用,6.9,12,0.0,16265.0,,,
